station,lat,lon,date,groundtruth_no2,tropospheric_no2,population_density,night_light,u10,v10,wind_speed,temperature_2m_C,surface_pressure_hPa,BLH,total_cloud_cover
DTU,28.7500499,77.1112615,2024-10-08,35.27708333333333,8.043378259037282e-05,14392.320251464844,26.63999938964844,0.6699797312418619,-0.7780923843383789,1.0267914096058173,26.613362884521507,987.5668603515624,412.07844215582224,0.0432159225802776
DTU,28.7500499,77.1112615,2024-10-09,45.24791666666666,8.147462871037346e-05,14392.320251464844,26.63999938964844,1.8068256378173828,-1.230884353319804,2.186251398334991,26.317915852864587,985.6763655598958,384.7171763270354,0.0642976954825653
DTU,28.7500499,77.1112615,2024-10-10,45.4408695652174,6.027763562471636e-05,14392.320251464844,26.63999938964844,2.086970011393229,-1.57097593943278,2.6121656208463047,25.78319829305013,985.1436442057292,363.3650641323121,0.0084238759422874
DTU,28.7500499,77.1112615,2024-10-11,38.10958333333333,6.0166821510474e-05,14392.320251464844,26.63999938964844,2.124170939127604,-0.9102395375569662,2.310982084388836,25.07348213195803,985.0920947265626,394.6731086920116,0.0095956188584254
DTU,28.7500499,77.1112615,2024-10-12,39.016666666666666,7.397798621327088e-05,14392.320251464844,26.63999938964844,0.5432669321695963,-0.016095479329427,0.54350531188187,25.411872482299827,986.00052734375,443.5870803959114,0.0077971413804695
DTU,28.7500499,77.1112615,2024-10-13,42.11714285714286,8.722809784727625e-05,14392.320251464844,26.63999938964844,-0.1331984202067057,-0.2948440313339233,0.3235348852269283,26.05352045694991,986.8144840494792,381.7819352583452,0.238500019489241
DTU,28.7500499,77.1112615,2024-10-14,38.5790909090909,0.000110207401626,14392.320251464844,26.63999938964844,1.3238995869954426,-0.7399948040644327,1.5166747925936732,25.29498189290365,987.10119140625,429.60003662109375,0.1029236429671118
DTU,28.7500499,77.1112615,2024-10-15,43.23458333333334,6.522335228872892e-05,14392.320251464844,26.63999938964844,2.071561813354492,-0.6144156455993652,2.1607579531511245,25.179698562622093,985.925458984375,407.67951927500326,0.0021210505048867
DTU,28.7500499,77.1112615,2024-10-16,46.13458333333333,-1815.466971264412,14392.320251464844,26.63999938964844,-0.2294247945149739,0.2298149665196736,0.3247316664181009,25.952620442708337,985.3971370442708,335.9473684011412,0.5702428891639079
DTU,28.7500499,77.1112615,2024-10-17,53.36041666666667,0.000160139697294,14392.320251464844,26.63999938964844,-0.9946276346842448,0.7307447195053101,1.2342090490522544,26.14655329386397,985.708876953125,346.9023924267982,0.0999934854647837
DTU,28.7500499,77.1112615,2024-10-18,67.09333333333332,0.0001569871693954,14392.320251464844,26.63999938964844,-0.6393953959147135,0.7347273031870524,0.9739870031809726,26.44224446614584,985.7596728515624,394.75734893546615,0.0001180033992748
DTU,28.7500499,77.1112615,2024-10-19,57.73708333333334,0.0001543684902085,14392.320251464844,26.63999938964844,-0.6630846659342448,0.0095780690511067,0.6631538385652885,26.982621129353845,986.0024137369792,313.63442703120967,0.0338344361463731
DTU,28.7500499,77.1112615,2024-10-20,45.74583333333334,0.0001310261600123,14392.320251464844,26.63999938964844,-1.5170129140218098,-0.4756615956624349,1.58983714099812,26.78271064758303,987.7344384765624,397.9928909175652,0.13177809051492
DTU,28.7500499,77.1112615,2024-10-21,38.56083333333333,0.000169145749796,14392.320251464844,26.63999938964844,-1.0187193552652996,-0.7847028573354086,1.285903456369296,26.30975748697921,987.8644205729169,404.0429938450333,0.0055958666503891
DTU,28.7500499,77.1112615,2024-10-22,45.644166666666656,9.312292246687046e-05,14392.320251464844,26.63999938964844,-0.4622936248779297,-1.24107293287913,1.324378125887007,26.054282124837243,988.889560546875,393.7318322047715,0.00379527176053
DTU,28.7500499,77.1112615,2024-10-23,34.923750000000005,5.989159266795163e-05,14392.320251464844,26.63999938964844,1.571918487548828,-2.166808565457662,2.6769361387299635,26.04812138875326,988.0361474609376,498.758409862676,0.031664177871594
DTU,28.7500499,77.1112615,2024-10-24,33.300000000000004,9.708810073803036e-05,14392.320251464844,26.63999938964844,1.8035659790039065,-2.0441110531489053,2.726030124233011,25.55396804809573,986.6879296875,341.4692444604291,0.0
DTU,28.7500499,77.1112615,2024-10-25,34.90333333333333,7.252563470233548e-05,14392.320251464844,26.63999938964844,2.1744467417399087,-1.466646432876587,2.6228363257612783,25.13276443481448,986.3377945963542,382.8280256287125,0.0
DTU,28.7500499,77.1112615,2024-10-26,37.744166666666665,0.0001025774425686,14392.320251464844,26.63999938964844,-0.2918516794840495,-0.9514732360839844,0.9952279747885856,24.75550740559896,985.9872509765624,285.3256096958129,0.0
DTU,28.7500499,77.1112615,2024-10-27,61.470416666666665,0.0001656527479782,14392.320251464844,26.63999938964844,-1.3881092071533203,0.68020232518514,1.5458080004227854,25.34093500773116,985.0641015625,382.1289498825704,0.0075050019543648
DTU,28.7500499,77.1112615,2024-10-28,47.51500000000001,0.0001183419288368,14392.320251464844,26.63999938964844,-1.3887945810953777,1.4915976921717329,2.0380417227750574,25.757266616821312,984.4482779947916,423.2017050498773,0.0164382453692291
DTU,28.7500499,77.1112615,2024-10-29,58.58291666666667,0.0001620863331321,14392.320251464844,26.63999938964844,-1.033746083577474,0.8451153039932251,1.3352343773118365,26.60200653076174,984.6682731119791,379.0416128615703,0.0001211087536312
DTU,28.7500499,77.1112615,2024-10-30,61.664583333333326,0.0001642630097589,14392.320251464844,26.63999938964844,0.1833472649256388,-0.6351439158121744,0.661077917759272,27.014073308308923,985.6957942708332,334.18205462999583,0.005534516245296
DTU,28.7500499,77.1112615,2024-10-31,35.26833333333334,6.462318194209263e-05,14392.320251464844,26.63999938964844,2.707750956217448,-1.392205556233724,3.044692357481221,26.096924718221032,986.7677099609376,419.7897082872627,0.0
DTU,28.7500499,77.1112615,2024-11-01,29.55347826086956,5.537360021603948e-05,14392.320251464844,27.200000762939453,1.9853407541910808,-0.4287243684132893,2.0311037625693533,25.18949406941732,987.8652376302084,431.0537062715893,0.0
DTU,28.7500499,77.1112615,2024-11-02,36.16764705882354,0.0001336356266211,14392.320251464844,27.200000762939453,-0.3435757954915364,-0.353983203570048,0.4933035938013792,24.3433884938558,989.0147721354168,366.6973649962875,1.1480872243669746e-05
DTU,28.7500499,77.1112615,2024-11-03,33.97291666666667,0.0001175698778924,14392.320251464844,27.200000762939453,-0.4304097493489583,-0.6406981150309244,0.7718462456595956,24.18032162984213,989.5516243489584,344.8135717722995,7.880554911642035e-05
DTU,28.7500499,77.1112615,2024-11-04,11.22235294117647,0.0001070864689662,14392.320251464844,27.200000762939453,-0.1922721862792968,-0.3445820411046346,0.394595206089046,23.62062670389816,988.4665511067708,333.5888081700349,0.0
DTU,28.7500499,77.1112615,2024-11-05,7.455833333333332,0.0001937719910488,14392.320251464844,27.200000762939453,-1.4425824483235676,0.182578444480896,1.4540904403097774,23.83054122924807,990.5100130208332,387.79267391488577,0.0131815028904113
DTU,28.7500499,77.1112615,2024-11-06,86.85083333333334,0.0001961870821295,14392.320251464844,27.200000762939453,-0.2915589412053426,0.1635354359944661,0.3342909735884003,24.34400647481283,990.247333984375,392.4926141155653,0.1391177578898501
DTU,28.7500499,77.1112615,2024-11-07,50.724583333333335,0.0002093275751552,14392.320251464844,27.200000762939453,-0.9586531321207682,0.3602125644683838,1.0240941945572433,24.501846567789755,989.7715380859376,416.73616469201966,0.0579695116636181
DTU,28.7500499,77.1112615,2024-11-08,36.425,0.0001140813249356,14392.320251464844,27.200000762939453,-0.9395453135172526,0.8249308268229166,1.2503024694828742,24.70566075642904,989.5347005208332,446.1522255889641,0.056028554877959
DTU,28.7500499,77.1112615,2024-11-09,44.95916666666668,0.0001104616213414,14392.320251464844,27.200000762939453,-1.654254635175069,1.0137967665990193,1.940191300352836,24.75659332275393,989.6900065104168,407.7933074698961,0.0529833705557033
DTU,28.7500499,77.1112615,2024-11-10,35.55,-9999.0,14392.320251464844,27.200000762939453,-1.231777310371399,-0.0910977522532145,1.235141345276477,24.97360191345217,989.7064615885416,364.5608613826027,0.1729433043929171
